x,h=0.1,h=0.05,h=0.01
0.0,3.453369834128843e-15,-1.0939291046735747e-14,5.701812465846962e-14
0.1,0.4571624041684452,0.23040378744085108,0.04631743277255381
0.2,0.8950158786294911,0.4571441370564979,0.092525582405443
0.30000000000000004,1.3043447818426344,0.6790544431221592,0.13861514876643596
0.4,1.67629755114701,0.8949740620782096,0.18457681773294976
0.5,2.002616739298166,1.1037570854959788,0.23040126418746296
0.6000000000000001,2.2758128614158672,1.304280607776318,0.276079155003828
0.7000000000000001,2.4892704285563534,1.495452348811704,0.32160115202253087
0.8,2.637279059149296,1.6762175028350568,0.36695791501289404
0.9,2.714987351024734,1.845564697986415,0.41214010462022604
1.0,2.718281828459045,2.0025309664198487,0.4571383852959284
